area_type,availability,location,total_sqft,bath,balcony,price,bhk
Built-up  Area,Ready To Move,Chandapura,1080,2.0,3.0,45.0,2.0
Super built-up  Area,Ready To Move,Kaggalipura,1150,2.0,1.0,62.0,3.0
Super built-up  Area,19-Jul,Ramamurthy Nagar,1200,2.0,1.0,57.9,2.0
Super built-up  Area,Ready To Move,Jakkuru Layout,1200,2.0,1.0,54.0,2.0
Super built-up  Area,Ready To Move,Kudlu Gate,1656,3.0,2.0,75.0,3.0
Plot  Area,18-Apr,bsk 6th stage 2ad block near sri conversation hall,600,4.0,2.0,87.0,4.0
Super built-up  Area,Ready To Move,KR Puram,1040,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,Hosur Road,1085,2.0,2.0,33.7,2.0
Super built-up  Area,18-Apr,Virat Nagar,1215,2.0,2.0,49.75,3.0
Built-up  Area,Ready To Move,NRI Layout,2150,4.0,2.0,115.0,4.0
Plot  Area,Ready To Move,Hoodi,1100,4.0,1.0,120.0,4.0
Super built-up  Area,18-Feb,Panathur,1210,2.0,1.0,77.0,2.0
Built-up  Area,Ready To Move,Kallumantapa,1050,2.0,1.0,55.0,2.0
Plot  Area,Ready To Move,"Annapoorneshwari Layout, JP nagar 7th phase",600,3.0,1.0,70.0,3.0
Super built-up  Area,18-Aug,Iblur Village,1920,3.0,2.0,150.0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,1250,2.0,1.0,50.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,947.55,2.0,1.0,80.0,2.0
Built-up  Area,Ready To Move,Malleshpalya,1421,2.0,1.0,90.0,2.0
Plot  Area,Ready To Move,Mudalpalaya,1050,4.0,2.0,155.0,6.0
Super built-up  Area,18-May,Old Madras Road,1425,2.0,2.0,74.31,3.0
Super built-up  Area,Ready To Move,Budigere,1162,2.0,1.0,58.0,2.0
Super built-up  Area,18-Jul,Whitefield,905,1.0,1.0,60.0,1.0
Super built-up  Area,Ready To Move,Sarjapur  Road,914,2.0,1.0,32.0,2.0
Built-up  Area,18-Apr,elachenahalli,1258,2.0,0.0,58.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1537,2.0,3.0,70.0,3.0
Super built-up  Area,Ready To Move,Chikkalasandra,1230,2.0,2.0,53.51,3.0
Super built-up  Area,Ready To Move,Malleshwaram,2250,3.0,1.0,200.0,3.0
Plot  Area,Ready To Move,Hosur Road,2000,4.0,1.0,69.0,4.0
Super built-up  Area,Ready To Move,Vivek Nagar,3000,4.0,3.0,130.0,8.0
Built-up  Area,Ready To Move,Anjanapura,950,2.0,0.0,32.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,4000,4.0,2.0,200.0,4.0
Super built-up  Area,Ready To Move,Yelahanka,1282,2.0,1.0,48.72,3.0
Built-up  Area,18-Apr,Banashankari Stage III,1304,2.0,0.0,111.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2100,3.0,2.0,200.0,3.0
Built-up  Area,Ready To Move,Jakkur,1220,2.0,2.0,49.0,3.0
Super built-up  Area,Ready To Move,Budigere,1636,3.0,2.0,85.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,1415,3.0,1.0,65.0,3.0
Super built-up  Area,Ready To Move,Green Glen Layout,1728,3.0,2.0,125.0,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1680,3.0,3.0,125.0,3.0
Super built-up  Area,19-Dec,Venkatapura,1235,2.0,1.0,140.0,2.0
Plot  Area,18-May,Yelachenahalli,900,2.0,1.0,115.0,4.0
Built-up  Area,Ready To Move,Kasavanhalli,1495,2.0,2.0,83.0,2.0
Plot  Area,Ready To Move,Hennur Road,1500,5.0,1.0,175.0,5.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2501,3.0,3.0,138.0,3.0
Carpet  Area,20-Dec,Kanakpura Road,381,1.0,0.0,28.0,1.0
Super built-up  Area,Ready To Move,Hennur Road,2002,3.0,2.0,120.0,3.0
Plot  Area,Ready To Move,Banjara Layout,1200,2.0,2.0,70.0,2.0
Plot  Area,17-Sep,Bommasandra,1942,3.0,2.0,90.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1450 - 1595,2.0,2.0,60.75,3.0
Built-up  Area,Ready To Move,Thyagaraja Nagar,660,1.0,0.0,95.0,1.0
Built-up  Area,Ready To Move,Basavanna Nagar,1450,3.0,2.0,90.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1039,2.0,1.0,50.0,2.0
Super built-up  Area,Ready To Move,Old Madras Road,1210,2.0,1.0,80.0,2.0
Super built-up  Area,Ready To Move,Attibele,995,1.0,1.0,24.88,2.0
Built-up  Area,Ready To Move,Yelahanka,1620,3.0,2.0,90.0,3.0
Built-up  Area,Ready To Move,Marathahalli,1314,2.0,3.0,55.0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,945,2.0,1.0,33.0,2.0
Built-up  Area,Ready To Move,Nehru Nagar,1374,3.0,2.0,72.0,3.0
Built-up  Area,19-Jan,Kanakpura Road,1603,3.0,3.0,113.0,3.0
Built-up  Area,Ready To Move,Kengeri,1230,2.0,2.0,52.0,3.0
Super built-up  Area,Ready To Move, Basavangudi,670,1.0,1.0,50.0,1.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1864,3.0,2.0,105.0,4.0
Built-up  Area,18-Jan,Hosa Road,2500,3.0,2.0,100.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1625,2.0,2.0,54.0,3.0
Super built-up  Area,Ready To Move,Whitefield,1186,2.0,3.0,55.0,2.0
Super built-up  Area,Ready To Move,Electronic City,770,1.0,1.0,39.9,2.0
Super built-up  Area,18-Feb,Varthur,1085,2.0,1.0,45.0,2.0
Super built-up  Area,Ready To Move,Dodsworth Layout,1893,3.0,2.0,115.0,3.0
Plot  Area,Ready To Move,Thurahalli,600,3.0,2.0,65.0,4.0
Super built-up  Area,Ready To Move,Kundalahalli,1496,2.0,3.0,78.0,3.0
Super built-up  Area,18-Jul,Chandapura,1305,3.0,1.0,33.28,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,1550,2.0,2.0,82.0,3.0
Super built-up  Area,Ready To Move,Marathahalli,1200,2.0,1.0,58.17,3.0
Super built-up  Area,20-Jan,Badavala Nagar,1494,2.0,2.0,94.55,3.0
Super built-up  Area,Ready To Move,Electronic City Phase II,1286,2.0,2.0,69.0,2.0
Plot  Area,Ready To Move,"Banashankari 6th stage , 2nd block",600,4.0,1.0,100.0,3.0
Super built-up  Area,Ready To Move,Hebbal,1860,3.0,2.0,95.0,3.0
Super built-up  Area,Ready To Move,Haralur Road,1243,2.0,2.0,45.0,2.0
Super built-up  Area,Ready To Move,Brookefield,1200,2.0,2.0,75.0,2.0
Super built-up  Area,Ready To Move,Sarjapur,1044,2.0,2.0,32.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1040,2.0,1.0,41.59,2.0
Super built-up  Area,18-Jun,8th Phase JP Nagar,1125,2.0,2.0,36.94,2.0
Super built-up  Area,Ready To Move,Subramanyapura,1278,2.0,2.0,59.0,3.0
Super built-up  Area,Ready To Move,Belatur,1250,2.0,1.0,43.0,2.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1210,2.0,2.0,75.0,2.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1200,3.0,2.0,110.0,4.0
Super built-up  Area,18-Apr,Sarjapur  Road,1157,2.0,1.0,57.84,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1185,2.0,1.0,51.15,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1450,3.0,3.0,100.0,3.0
Super built-up  Area,Ready To Move,Old Madras Road,1859,3.0,2.0,121.0,3.0
Super built-up  Area,17-Sep,Attibele,900,1.0,1.0,25.0,2.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1305,3.0,1.0,60.0,3.0
Built-up  Area,Ready To Move,Srirampuram,1200,2.0,2.0,100.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,763 - 805,1.0,0.0,35.285,1.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1150,2.0,0.0,36.8,2.0
Built-up  Area,Ready To Move,Whitefield,1806,3.0,3.0,85.0,3.0
Super built-up  Area,Ready To Move,Kudlu,1027,2.0,2.0,42.0,2.0
Super built-up  Area,19-Jul,Uttarahalli,1002,2.0,1.0,40.08,2.0
Super built-up  Area,18-Apr,Electronic City Phase II,1220,2.0,1.0,36.21,3.0
Super built-up  Area,Ready To Move,Whitefield,1109,2.0,1.0,35.22,2.0
Built-up  Area,Ready To Move,Uttarahalli,1002,2.0,1.0,40.08,2.0
Super built-up  Area,Ready To Move,Narayanapura,1308,2.0,1.0,89.04,2.0
Super built-up  Area,19-Mar,Hennur Road,1232,2.0,1.0,69.6,2.0
Super built-up  Area,18-Apr,Haralur Road,1027,2.0,2.0,44.0,2.0
Built-up  Area,Ready To Move,Kalyan nagar,1250,2.0,2.0,65.0,2.0
Plot  Area,Ready To Move,KR Puram,960,4.0,2.0,80.0,4.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1255,2.0,1.0,53.87,2.0
Built-up  Area,Ready To Move,Akshaya Nagar,1434,3.0,3.0,84.0,3.0
Built-up  Area,Ready To Move,Doddathoguru,925,2.0,2.0,30.0,2.0
Super built-up  Area,19-Dec,Jakkur,1858,3.0,1.0,123.0,3.0
Built-up  Area,Ready To Move,Jakkuru Layout,1205,2.0,1.0,70.0,2.0
Plot  Area,18-Jul,Nelamangala,1500,3.0,2.0,90.0,3.0
Plot  Area,Ready To Move,Nagawara Junction,1200,3.0,2.0,200.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,1020,2.0,2.0,48.95,2.0
Super built-up  Area,Ready To Move,Thanisandra,965,2.0,1.0,56.0,2.0
Plot  Area,Ready To Move,Hoysalanagar,1200,4.0,2.0,90.0,6.0
Super built-up  Area,Ready To Move,Battarahalli,1636,2.0,2.0,82.89,2.0
Super built-up  Area,18-Dec,Kundalahalli,1724,3.0,1.0,125.0,3.0
Super built-up  Area,18-Oct,Whitefield,1216,2.0,1.0,67.0,2.0
Super built-up  Area,18-Feb,Yelahanka,654,1.0,1.0,36.25,1.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,1190,2.0,2.0,41.0,2.0
Plot  Area,Ready To Move,Tavarekere,1200,5.0,2.0,180.0,7.0
Super built-up  Area,Ready To Move,Budigere,1636,3.0,2.0,92.0,3.0
Super built-up  Area,18-Dec,Hennur Road,1195,2.0,2.0,73.0,2.0
Super built-up  Area,Ready To Move,1st Block HRBR Layout,1250,2.0,1.0,67.0,2.0
Super built-up  Area,Ready To Move,Whitefield,1452,3.0,2.0,90.0,3.0
Super built-up  Area,19-Dec,Thanisandra,1546,3.0,1.0,95.0,3.0
Plot  Area,Ready To Move,Naganathapura,2260,3.0,1.0,80.0,2.0
Plot  Area,Ready To Move,Tavarekere,2700,3.0,2.0,90.0,4.0
Super built-up  Area,Ready To Move,Indira Nagar,1475,2.0,2.0,171.0,2.0
Built-up  Area,Ready To Move,JP Nagar,3000,3.0,2.0,150.0,4.0
Built-up  Area,Ready To Move,KG Halli,375,1.0,0.0,26.0,1.0
Super built-up  Area,Ready To Move,Balagere,1007,2.0,1.0,66.0,2.0
Plot  Area,Ready To Move,Kanakpura Road,1.26Acres,1.0,0.0,125.0,1.0
Super built-up  Area,Ready To Move,Hennur Road,1020,2.0,3.0,47.0,2.0
Super built-up  Area,Ready To Move,Lavelle Road,1000,2.0,0.0,150.0,2.0
Plot  Area,Ready To Move,Varanasi,800,3.0,1.0,59.5,2.0
Plot  Area,Ready To Move,Geddalahalli,1200,3.0,2.0,95.0,5.0
Super built-up  Area,Ready To Move,Marathahalli,1125,2.0,3.0,55.0,2.0
Built-up  Area,Ready To Move,Kada Agrahara,909,2.0,1.0,43.0,3.0
Super built-up  Area,Ready To Move,Dodsworth Layout,1400,2.0,3.0,85.0,2.0
Super built-up  Area,Ready To Move,Kadugodi,1152,2.0,2.0,61.0,2.0
Super built-up  Area,Ready To Move,Subramanyapura,958,2.0,1.0,34.49,2.0
Super built-up  Area,Ready To Move,Whitefield,1150,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Old Madras Road,2990,5.0,1.0,173.0,3.0
Super built-up  Area,Ready To Move,Bellandur,1310,2.0,2.0,85.0,2.0
Super built-up  Area,Ready To Move,Hosur Road,1590,2.0,2.0,126.0,3.0
Super built-up  Area,Ready To Move,Green Glen Layout,1645,3.0,2.0,110.0,3.0
Built-up  Area,Ready To Move,Veerabhadra Nagar,1800,2.0,2.0,100.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,1795,3.0,2.0,150.0,3.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1100,2.0,3.0,35.0,2.0
Super built-up  Area,18-Nov,Thanisandra,620 - 934,1.0,0.0,38.535,1.0
Super built-up  Area,Ready To Move,Kalkere,925,2.0,2.0,70.0,2.0
Super built-up  Area,Ready To Move,Basavangudi,1542.14,3.0,3.0,120.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,1430,2.0,2.0,54.0,3.0
Super built-up  Area,Ready To Move,Bommanahalli,1020,2.0,2.0,55.0,2.0
Plot  Area,Ready To Move,Ramamurthy Nagar Extension,750,2.0,1.0,42.0,4.0
Super built-up  Area,18-May,Electronic City Phase II,1140,2.0,1.0,32.92,2.0
Built-up  Area,Ready To Move,Anekal,967,2.0,1.0,45.0,3.0
Super built-up  Area,19-Jun,Hebbal,2470,4.0,2.0,203.0,4.0
Built-up  Area,Ready To Move,Maruthi Nagar,850,1.0,0.0,35.5,2.0
Super built-up  Area,Ready To Move,Vidhyanagar Cross,1100,2.0,2.0,32.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1697,3.0,2.0,110.0,3.0
Super built-up  Area,Ready To Move,Varthur,1250,2.0,2.0,47.0,2.0
Super built-up  Area,Ready To Move,Gottigere,1120,2.0,2.0,50.0,2.0
Plot  Area,Ready To Move,NRI Layout,1200,4.0,0.0,95.0,4.0
Super built-up  Area,Ready To Move,Hebbal,1200,2.0,1.0,52.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1100,2.0,1.0,44.0,2.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,1417,2.0,2.0,76.0,3.0
Built-up  Area,Ready To Move,Thanisandra,1492,3.0,1.0,88.0,3.0
Super built-up  Area,22-Nov,Devanahalli,1498,3.0,3.0,79.15,3.0
Super built-up  Area,Ready To Move,Kundalahalli,1010,2.0,1.0,48.27,2.0
Super built-up  Area,Ready To Move,Hennur,1255,2.0,2.0,53.5,2.0
Super built-up  Area,Ready To Move,Channasandra,1050,2.0,1.0,35.0,2.0
Super built-up  Area,Ready To Move,Hegde Nagar,1847,3.0,2.0,125.0,3.0
Super built-up  Area,18-May,1st Stage Indira Nagar,1200,2.0,2.0,55.0,2.0
Super built-up  Area,Ready To Move,Bellandur,982,2.0,2.0,37.28,2.0
Super built-up  Area,Ready To Move,Hegde Nagar,2144.6,4.0,2.0,145.0,3.0
Super built-up  Area,Ready To Move,Kengeri,750,2.0,1.0,36.5,2.0
Super built-up  Area,Ready To Move,Electronic City,919,2.0,2.0,35.0,2.0
Super built-up  Area,Ready To Move,Budigere,1087,2.0,1.0,54.3,2.0
Built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,1480,3.0,2.0,74.0,3.0
Built-up  Area,Ready To Move,Tindlu,1180,2.0,2.0,52.0,2.0
Super built-up  Area,Ready To Move,Jigani,1221,3.0,2.0,65.0,3.0
Super built-up  Area,Ready To Move,Haralur Road,1194,2.0,2.0,46.0,2.0
Built-up  Area,Ready To Move,Thanisandra,2072,3.0,2.0,122.0,3.0
Built-up  Area,18-Dec,Whitefield,1600,3.0,2.0,69.0,3.0
Super built-up  Area,Ready To Move,Sahakara Nagar,2200,3.0,2.0,98.0,3.0
Super built-up  Area,Ready To Move,Kaikondrahalli,1253,2.0,2.0,81.5,2.0
Super built-up  Area,Ready To Move,Hennur Road,1061,2.0,1.0,54.92,2.0
Super built-up  Area,Ready To Move,Marathahalli,1950,3.0,2.0,115.0,3.0
Built-up  Area,Ready To Move,Marathahalli,1250,2.0,2.0,68.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,1585,2.0,3.0,80.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,1452,3.0,3.0,60.98,3.0
Super built-up  Area,Ready To Move,Kammasandra,1015,2.0,2.0,37.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,1125,2.0,2.0,56.8,2.0
Super built-up  Area,18-May,Electronic City Phase II,1116,2.0,2.0,40.0,2.0
Built-up  Area,Ready To Move,Kadarenahalli,400,1.0,0.0,35.0,1.0
Super built-up  Area,Ready To Move,Old Madras Road,1300,2.0,2.0,100.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1419,2.0,1.0,60.42,2.0
Super built-up  Area,Ready To Move,Punappa Layout,1310,2.0,1.0,55.0,3.0
Super built-up  Area,Ready To Move,Thigalarapalya,2072,4.0,2.0,152.0,3.0
Built-up  Area,Ready To Move,Kaggadasapura,1240,2.0,1.0,58.58,2.0
Built-up  Area,Ready To Move,Chamrajpet,1565,3.0,2.0,98.91,3.0
Super built-up  Area,Ready To Move,Budigere,1820,3.0,2.0,89.0,3.0
Plot  Area,Ready To Move,Gubbalala,2500,3.0,1.0,88.0,3.0
Super built-up  Area,Ready To Move,Hosa Road,1245,2.0,1.0,62.0,2.0
Super built-up  Area,Ready To Move,GM Palaya,1315,3.0,1.0,65.0,3.0
Super built-up  Area,Ready To Move,Kenchenahalli,1410,2.0,2.0,73.0,3.0
Super built-up  Area,Ready To Move,Dasarahalli,1375,2.0,1.0,60.0,2.0
Super built-up  Area,Ready To Move,Old Madras Road,1299,2.0,2.0,95.0,2.0
Super built-up  Area,Ready To Move,Pampa Extension,993,2.0,3.0,45.5,2.0
Plot  Area,Ready To Move,Bommasandra Industrial Area,1200,3.0,0.0,45.0,2.0
Super built-up  Area,Ready To Move,Lavelle Road,985,2.0,1.0,156.0,2.0
Built-up  Area,Ready To Move,4th Block Koramangala,2400,5.0,3.0,180.0,4.0
Super built-up  Area,18-Nov,Hebbal,1255,2.0,1.0,95.0,3.0
Super built-up  Area,22-Jun,Hoodi,1655,3.0,2.0,131.0,3.0
Super built-up  Area,18-Dec,Whitefield,2830,5.0,3.0,190.0,4.0
Built-up  Area,Ready To Move,Electronic City,550,1.0,1.0,15.0,2.0
Super built-up  Area,Ready To Move,Balaji Gardens Layout,825,2.0,1.0,40.0,1.0
Super built-up  Area,20-Aug,Begur Road,1634,3.0,1.0,111.0,3.0
Super built-up  Area,Ready To Move,Banaswadi,1222,2.0,2.0,80.0,2.0
Super built-up  Area,Ready To Move,Gottigere,1500,3.0,2.0,63.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,1890,4.0,2.0,100.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,850,1.0,1.0,39.5,2.0
Super built-up  Area,Ready To Move,Whitefield,1295,2.0,3.0,78.5,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1320,2.0,1.0,100.0,2.0
Built-up  Area,Ready To Move,ISRO Layout,950,3.0,3.0,179.0,4.0
Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,3000,3.0,3.0,170.0,4.0
Built-up  Area,Ready To Move,Harlur,1197,2.0,1.0,82.0,2.0
Super built-up  Area,Ready To Move,Hoysalanagar,1320,2.0,3.0,60.0,3.0
Plot  Area,Ready To Move,Billekahalli,1180,5.0,2.0,98.5,5.0
Super built-up  Area,20-Dec,Whitefield,840,1.0,1.0,57.6,1.0
Super built-up  Area,20-Dec,Whitefield,540 - 740,1.0,0.0,19.83,1.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1693,3.0,1.0,71.38,3.0
Super built-up  Area,Ready To Move,Kodihalli,1000,2.0,1.0,62.0,2.0
Built-up  Area,Ready To Move,Babusapalaya,1305,2.0,1.0,70.0,2.0
Built-up  Area,Ready To Move,Kodichikkanahalli,450,1.0,1.0,18.0,1.0
Super built-up  Area,Ready To Move,CV Raman Nagar,705,1.0,1.0,57.0,1.0
Built-up  Area,Ready To Move,Tumkur Road,4800,5.0,2.0,150.0,5.0
Built-up  Area,18-Dec,Whitefield,1991,3.0,2.0,104.0,3.0
Super built-up  Area,Ready To Move,Battarahalli,1779,3.0,2.0,90.0,3.0
Super built-up  Area,Ready To Move,Banaswadi,870,2.0,2.0,38.0,2.0
Super built-up  Area,18-May,Thanisandra,1595,3.0,2.0,120.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,525,1.0,1.0,26.0,1.0
Plot  Area,Ready To Move,Ramamurthy Nagar,945,5.0,2.0,120.0,4.0
Super built-up  Area,18-Dec,Iblur Village,2000,4.0,2.0,138.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,1614,3.0,2.0,93.0,3.0
Super built-up  Area,Ready To Move,Gottigere,1200,2.0,3.0,40.0,2.0
Built-up  Area,Ready To Move,Electronic City Phase II,1150,3.0,3.0,46.0,3.0
Super built-up  Area,18-Dec,Sonnenahalli,1610,3.0,2.0,80.48,3.0
Super built-up  Area,Ready To Move,Whitefield,1190,2.0,2.0,41.0,2.0
Super built-up  Area,Ready To Move,Kallumantapa,1050,2.0,2.0,50.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1460,2.0,1.0,97.0,3.0
Plot  Area,Ready To Move,Naganathapura,600,1.0,0.0,33.0,1.0
Built-up  Area,Ready To Move,Suraksha Nagar,1569,3.0,0.0,70.0,3.0
Built-up  Area,18-Dec,"Off Sarjapur Road, ",2600,3.0,2.0,147.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,645,1.0,0.0,42.5,1.0
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,1200,3.0,1.0,180.0,4.0
Plot  Area,Ready To Move,Nagarbhavi,800,3.0,0.0,95.0,3.0
Built-up  Area,Ready To Move,Mico Layout,800,2.0,1.0,80.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,1350,2.0,1.0,90.0,2.0
Super built-up  Area,18-Mar,Rajarajeshwari Nagara,1410,2.0,2.0,45.12,3.0
Super built-up  Area,Ready To Move,Whitefield,1109,2.0,1.0,35.47,2.0
Built-up  Area,Ready To Move,Agrahara Dasarahalli,800,1.0,0.0,72.0,1.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1215,2.0,1.0,68.0,2.0
Built-up  Area,Ready To Move,Prithvi Layout,2273,4.0,2.0,192.0,3.0
Super built-up  Area,18-Aug,Varthur Road,1255,2.0,2.0,52.76,2.0
Super built-up  Area,Ready To Move,B Narayanapura,1020,2.0,1.0,49.0,2.0
Super built-up  Area,18-Jul,T R Mill Road,1225,2.0,2.0,82.0,3.0
Super built-up  Area,Ready To Move,Singasandra,1120,2.0,1.0,60.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,1225,2.0,1.0,69.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1984,4.0,1.0,145.0,3.0
Super built-up  Area,Ready To Move,Old Madras Road,2425,3.0,1.0,197.0,3.0
Plot  Area,18-Sep,ITPL,1200,3.0,1.0,56.12,3.0
Super built-up  Area,18-Aug,Bommasandra,1127,2.0,1.0,45.0,2.0
Built-up  Area,18-Jun,Whitefield,1655,3.0,2.0,97.0,3.0
Super built-up  Area,18-Aug,Ananth Nagar,500,1.0,1.0,14.0,1.0
Plot  Area,18-Jul,Varthur,1200,3.0,1.0,68.38,3.0
Super built-up  Area,Ready To Move,Kaggadasapura,1000,2.0,2.0,43.0,2.0
Super built-up  Area,18-Jul,CV Raman Nagar,1225,2.0,2.0,47.88,2.0
Super built-up  Area,Ready To Move,Hormavu,1350,2.0,2.0,45.0,2.0
Plot  Area,18-Apr,Nagarbhavi,600,5.0,3.0,95.0,4.0
Super built-up  Area,Ready To Move,Sahakara Nagar,1175,2.0,3.0,49.0,2.0
Super built-up  Area,Ready To Move,Sanne Amanikere,655,1.0,2.0,27.0,1.0
Super built-up  Area,19-Mar,Hosa Road,1311,2.0,1.0,84.86,3.0
Plot  Area,Ready To Move,Banashankari Stage VI,600,4.0,0.0,90.0,3.0
Carpet  Area,Ready To Move,CV Raman Nagar,1000,2.0,1.0,38.5,2.0
Super built-up  Area,Ready To Move,Indira Nagar Stage 2,1196,2.0,1.0,96.0,2.0
Built-up  Area,Ready To Move,Kanakpura Road,1050,2.0,1.0,59.0,3.0
Super built-up  Area,Ready To Move,Somasundara Palya,1275,2.0,2.0,52.0,3.0
Carpet  Area,Ready To Move,Hommadevanahalli,927,2.0,1.0,50.0,2.0
Super built-up  Area,Ready To Move,Varthur,1520,2.0,3.0,61.0,3.0
Built-up  Area,Ready To Move,Hebbal,1333,2.0,1.0,104.0,2.0
Super built-up  Area,18-Mar,Tunganagara,600,1.0,0.0,18.0,1.0
Super built-up  Area,18-Sep,Abbigere,1326,2.0,1.0,34.8,3.0
Super built-up  Area,18-Mar,Sarjapur  Road,1618 - 1929,2.0,2.0,85.125,3.0
Built-up  Area,Ready To Move,Koramangala,1370,2.0,2.0,125.0,2.0
Super built-up  Area,Ready To Move,Koramangala,1100,2.0,2.0,85.0,2.0
Super built-up  Area,Ready To Move,Haralur Road,1650,3.0,3.0,100.0,3.0
Super built-up  Area,18-May,Kasavanhalli,1917,3.0,2.0,132.0,3.0
Carpet  Area,Ready To Move,Doddakannelli,780,3.0,2.0,75.0,3.0
Super built-up  Area,Ready To Move,Billekahalli,950,2.0,1.0,58.11,2.0
Super built-up  Area,Ready To Move,T C Palya main Road,1175,2.0,1.0,48.72,2.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,1089,2.0,1.0,43.55,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1804,3.0,2.0,175.0,3.0
Super built-up  Area,Ready To Move,Hoodi,1257,2.0,1.0,68.5,2.0
Super built-up  Area,Ready To Move,Sarjapur,650,1.0,2.0,19.87,1.0
Super built-up  Area,Ready To Move,Whitefield,1850,3.0,2.0,150.0,3.0
Built-up  Area,Ready To Move,Vishwapriya Nagar,2800,4.0,1.0,200.0,4.0
Built-up  Area,Ready To Move,Vidyaranyapura,945,2.0,2.0,40.0,2.0
Super built-up  Area,22-Dec,Koramangala,1161,2.0,1.0,63.85,2.0
Super built-up  Area,17-Apr,Banashankari Stage V,1630,3.0,2.0,51.35,3.0
Super built-up  Area,Ready To Move,Jalahalli,1310,2.0,2.0,60.0,3.0
Super built-up  Area,Ready To Move,Lake City,750,2.0,1.0,28.0,2.0
Plot  Area,18-Sep,Whitefield,1200,3.0,1.0,67.77,3.0
Super built-up  Area,Ready To Move,Vittal Nagar,1000,2.0,1.0,45.0,2.0
Built-up  Area,Ready To Move,Nagavara,1315,2.0,2.0,70.0,2.0
Super built-up  Area,Ready To Move,Sahakara Nagar,1370,2.0,2.0,90.0,3.0
Plot  Area,Ready To Move,Ulsoor,1200,4.0,3.0,150.0,5.0
Built-up  Area,Ready To Move,Bellandur,1465,3.0,3.0,90.0,2.0
Plot  Area,Ready To Move,JP Nagar,20000,3.0,2.0,175.0,3.0
Super built-up  Area,18-Apr,Electronic City,1128,2.0,1.0,64.0,2.0
Super built-up  Area,Ready To Move,Padmanabhanagar,1250,2.0,2.0,70.0,3.0
Super built-up  Area,19-Jun,Hebbal,1645,3.0,2.0,117.0,3.0
Super built-up  Area,Ready To Move,Horamavu Agara,1284,2.0,2.0,75.0,3.0
Super built-up  Area,18-Mar,Hebbal,2600,3.0,2.0,199.0,3.0
Super built-up  Area,19-Jun,Kodigehalli,1820,3.0,2.0,150.0,3.0
